x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,target_feature
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,0.3,540.0,1.5384615384615383,1,0.3500437554694337,YEs,NO,79.99
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,0.3,540.0,1.5606508875739644,1,0.4524155760219744,yES,nOO,61.89
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,0.6857142857142857,475.0,1.569023569023569,0,6.704742984852246,yEs,NO,40.27
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,0.6857142857142857,475.0,1.569023569023569,0,8.891595615103533,yes,NOO,41.05
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,0.9667673716012084,331.0,1.185221078134464,0,8.126410835214447,YeS,no,44.3
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,0.8571428571428571,380.0,1.391044776119403,0,1.9136721241760577,YES,nO,47.03
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,0.6,475.0,1.569023569023569,0,8.352402745995423,Yes,No,43.7
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,0.6,475.0,1.569023569023569,0,0.7681755829903978,Y E S,Noo,36.45
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,0.8571428571428571,380.0,1.391044776119403,0,0.6106870229007634,yES,nOO,45.85
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,0.48,475.0,1.569023569023569,0,0.7126495291422754,Yes,nOO,39.29
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,0.9667673716012084,331.0,1.185221078134464,0,2.364066193853428,Yes,no,38.07
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,0.9667673716012084,331.0,1.185221078134464,0,0.9992862241256246,yes,NOO,28.02
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,0.5333333333333333,475.0,1.569023569023569,0,6.277609858172518,YEs,nO,43.01
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,1.2,380.0,1.391044776119403,0,2.126151665485472,yEs,nOO,42.33
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,0.75,380.0,1.391044776119403,0,0.5856515373352855,yEs,nOO,47.81
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,0.6,380.0,1.391044776119403,0,1.7010017010017011,YEs,NO,52.91
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,1.375358166189112,349.0,1.2975585574420625,0,2.2865853658536586,YeS,NOO,39.36
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,0.6666666666666666,380.0,1.391044776119403,0,6.501603135019594,yes,NOo,56.14
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,0.6,475.0,1.569023569023569,0,2.218934911242604,YES,No,40.56
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,0.48,475.0,1.569023569023569,0,4.2233693101830125,yes,NOo,42.62
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,0.5333333333333333,475.0,1.569023569023569,0,4.302103250478012,YeS,no,41.84
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,1.375358166189112,349.0,1.2975585574420625,0,0.991501416430595,Yes,NOO,28.24
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,1.375358166189112,349.0,1.2975585574420625,0,0.3722084367245657,YeS,No,8.06
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,1.375358166189112,349.0,1.2975585574420625,0,4.07147704139335,yes,Noo,44.21
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,0.6,380.0,1.391044776119403,0,6.949733434881949,YES,No,52.52
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,0.6,380.0,1.391044776119403,0,5.065666041275797,yEs,NO,53.3
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,0.6,475.0,1.569023569023569,0,6.561360874848117,YES,no,41.15
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,0.6666666666666666,380.0,1.391044776119403,0,3.453568687643899,yEs,Noo,52.12
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,0.5333333333333333,475.0,1.569023569023569,0,0.7480630510285867,YES,no,37.43
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,0.48,475.0,1.569023569023569,0,0.1813471502590673,Yes,nOO,38.6
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,0.75,380.0,1.391044776119403,0,6.605139341295693,yes,No,55.26
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,0.8571428571428571,380.0,1.391044776119403,0,6.898506898506899,yes,no,52.91
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,0.9667673716012084,331.0,1.185221078134464,0,4.314477468839885,yES,Noo,41.72
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,0.48,475.0,1.569023569023569,0,6.408734868264894,YEs,NOo,42.13
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,1.2,380.0,1.391044776119403,0,6.798286459303409,yEs,no,53.69
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,0.96,475.0,1.569023569023569,0,7.029419422025515,YEs,No,38.41
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,0.96,475.0,1.569023569023569,0,0.9308510638297872,yES,NOo,30.08
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,0.6857142857142857,475.0,1.569023569023569,0,2.3860021208907742,YEs,No,37.72
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,0.48,475.0,1.569023569023569,0,2.1311863604072934,yES,NOo,42.23
